Avatar;Nombre;Segundo Nombre;Apellido;Segundo Apellido;Cedula;Dia;Mes;Year;Cargo;Dirección;Telefono;Genero;Parroquia;Etnia;Correo;Password;Oscuro
Default;Tibisay;Elena;Mendoza;Suarez;15987412;19;11;1983;Docente;Urb. Los Framboyanes, Casa 15;4165559988;Femenino;San Juan De Los Morros;Ninguna;tielenmen7412@gmail.com;TiElenMen*7412;0
Default;Eustaquio;Ramon;Bolívar;Rivas;10114563;30;8;1975;Docente;Sector El Totumo, Calle Principal;4243334455;Masculino;San Juan De Los Morros;Ninguna;eurambol4563@gmail.com;EuRamBol*4563;1
Default;Nicanor;Jesus;Guerra;Flores;13654789;12;5;1980;Docente;Barrio Camoruquito, Sector 2;4128880011;Masculino;San Juan De Los Morros;Ninguna;nijegue4789@gmail.com;NiJeGue*4789;0
Default;Petra;Jacinta;Velasquez;Rojas;10112233;24;6;1976;Docente;Urb. Antonio Miguel Martínez;4147778811;Femenino;San Juan De Los Morros;Ninguna;pejavel2233@gmail.com;PeJaVel*2233;1
Default;Gualberto;Angel;Solorzano;Machado;18456123;15;1;1988;Docente;Sector Los Laureles, Vereda 4;4264443322;Masculino;San Juan De Los Morros;Ninguna;guansol6123@gmail.com;GuanSol*6123;0
Default;Casimira;Ines;Pantoja;Blanco;12789456;2;10;1979;Docente;Residencias el Parque, Apto 2-B;4125550099;Femenino;San Juan De Los Morros;Ninguna;cainpan9456@gmail.com;CaInPan*9456;1
Default;Wenceslao;Luis;Colmenares;Lugo;20147852;28;7;1991;Docente;Urb. Los Portales, Casa 44;4241118877;Masculino;San Juan De Los Morros;Ninguna;welucol7852@gmail.com;WeLuCol*7852;0
Default;Maximina;Rosa;Salas;Ortega;11456987;11;12;1977;Docente;Barrio La Morera, Sector los Telegrafistas;4160001144;Femenino;San Juan De Los Morros;Ninguna;marosal6987@gmail.com;MaRoSal*6987;1
Default;Hermenegildo;Jose;Zambrano;Meza;14789654;5;4;1982;Docente;Av. Los Llanos, Qta Marisol;4126665544;Masculino;San Juan De Los Morros;Ninguna;hejozam9654@gmail.com;HeJoZam*9654;0
Default;Prudencia;Maria;Barrios;Camacho;16123456;20;9;1984;Docente;Urb. Pariapan, Vereda 10;4143339900;Femenino;San Juan De Los Morros;Ninguna;pumabarr3456@gmail.com;PuMaBarr*3456;1
Default;Sulpicio;Antonio;Hernandez;Lopez;19456781;14;2;1989;Docente;Sector Centro, Calle Salias;4240001199;Masculino;San Juan De Los Morros;Ninguna;suanher6781@gmail.com;SuAnHer*6781;0
Default;Tranquilino;Bernardo;Molina;Diaz;12456321;3;6;1979;Docente;Sector El Lucero, Calle 5;4124448855;Masculino;San Juan De Los Morros;Ninguna;trbemol6321@gmail.com;TrBeMol*6321;1
Default;Bernarda;Luz;Perez;Mora;17123987;21;10;1986;Docente;Barrio Puerto Rico, Calle Principal;4167773322;Femenino;San Juan De Los Morros;Ninguna;beluper3987@gmail.com;BeLuPer*3987;0
Default;Eulogio;Pedro;Castro;Soto;21456987;10;8;1990;Docente;Vía El Castrero, Km 2;4125556611;Masculino;San Juan De Los Morros;Ninguna;eupecas6987@gmail.com;EuPeCas*6987;1
Default;Dionisia;Rosa;Blanco;Lara;15999888;30;3;1983;Docente;Sector La Morera, Vereda 10;4268884433;Femenino;San Juan De Los Morros;Ninguna;dirobla9888@gmail.com;DiRoBla*9888;0
Default;Epifanio;Luis;Gil;Torres;12654123;7;7;1978;Docente;Av. Miranda, Edif. Guárico;4141112233;Masculino;San Juan De Los Morros;Ninguna;eplugil4123@gmail.com;EpLuGil*4123;1
Default;Teotiste;Elena;Sanchez;Ruiz;10456123;15;12;1974;Docente;Calle Sendrea, Casa 88;4129997788;Femenino;San Juan De Los Morros;Ninguna;teelsan6123@gmail.com;TeElSan*6123;0
Default;Agapito;Raul;Guzman;Meza;19654123;22;5;1987;Docente;Urb. Los Portales, Calle 2;4261110011;Masculino;San Juan De Los Morros;Ninguna;agraguz4123@gmail.com;AgRaGuz*4123;1
Default;Filomena;Rosa;Duarte;Pinto;14123456;12;1;1981;Docente;Residencias el Sol, Apto 4-A;4123334411;Femenino;San Juan De Los Morros;Ninguna;firodua3456@gmail.com;FiRoDua*3456;0
Ninja;Kasandra;Meyderines;Cornejo;Moya;22407618;11;3;1993;Docente;Urb. Pariapán, Calle 8;4120009988;Femenino;San Juan De Los Morros;Ninguna;kameycor7618@gmail.com;KaMeyCor*7618;1
